name,tier,accent,accent_ink,founded_year,closed_year,is_active,location,blurb
Underground Resistance,tier1,#0a0a0a,#f4f1e8,1989,,true,"Detroit, US","Mike Banks and Jeff Mills' Detroit techno militancy. Sleeves stamped with manifestos. Distribution via Submerge. ""Riot"", ""Final Frontier"", ""The Theory"". The X-101/102/103 conceptual trilogy."
Transmat,tier1,#d4a017,#1a1a1a,1986,,true,"Detroit, US","Derrick May's label. Strings of Life, Beyond the Dance, the Innovator compilation. The bridge between Chicago house and what would become techno."
Metroplex,tier1,#3a3a3a,#f4f1e8,1985,,true,"Detroit, US","Juan Atkins' label, the founding document of Detroit techno. Cybotron and Model 500 records that imagined a Black electronic future."
KMS Records,tier1,#7a1f3a,#f4f1e8,1987,,true,"Detroit, US","Kevin Saunderson's label. Inner City, Reese Project, the rolling house-techno hybrid that broke into UK pop charts."
Plus 8 Records,tier1,#0a0a0a,#f4f1e8,1990,,true,"Windsor, CA","Richie Hawtin and John Acquaviva's Windsor-Detroit imprint. Plastikman lives here. Acid, minimalism, the records that made Berlin's nineties possible."
M-Plant,tier1,#1a1a1a,#f4f1e8,1994,,true,"Detroit, US","Robert Hood's label. Minimal techno reduced to its essential frequency. Sleeves in monochrome, tracks in monochrome."
Axis Records,tier1,#c8431f,#1a1a1a,1991,,true,"Detroit, US","Jeff Mills' label. The Bells, Waveform Transmission. Three-deck mixes pressed to wax."
Planet E Communications,tier1,#0a3a4a,#f4f1e8,1991,,true,"Detroit, US","Carl Craig's label. Detroit jazz-techno, Innerzone Orchestra, the Designer Music compilations."
430 West,tier1,#3a3a3a,#f4f1e8,1991,,true,"Detroit, US","Octave One's label. Detroit techno that ran on rhythm rather than concept."
Junior Boy's Own,tier1,#1f3a5c,#f4f1e8,1988,,true,"London, UK","Steven Hall and Terry Farley's London imprint. Underworld, Chemical Brothers' debut, the records that turned UK house into something more like pop. Sleeves like football fanzines."
Soma Quality Recordings,tier1,#0a0a0a,#f4f1e8,1991,,true,"Glasgow, UK","Slam's Glasgow techno label. Daft Punk's first records came out here as much as anywhere. Funk d'Void, Envoy, the Slam productions themselves."
Ovum Recordings,tier1,#7a3a8c,#f4f1e8,1994,,true,"Philadelphia, US","Josh Wink's label. Higher State of Consciousness, Quadrasync, US house with a tougher European pulse."
Mute,tier1,#d62828,#f4f1e8,1978,,true,"London, UK","Daniel Miller's UK electronic establishment. Depeche Mode pays for the experimental subsidiaries; Throbbing Gristle, Cabaret Voltaire, Boyd Rice live in the back rooms."
NovaMute,tier1,#0a0a0a,#f4f1e8,1992,2008,false,"London, UK","Mute's techno sublabel. Plastikman, Speedy J, Luke Slater, Beltram's mid-period. The Mute approach with a 909 attached."
Mille Plateaux,tier1,#1a1a1a,#f4f1e8,1993,,true,"Frankfurt, DE","Achim Szepanski's Frankfurt IDM/glitch label. Named after Deleuze and Guattari. Oval, Pole, Alec Empire's quieter work, the Clicks & Cuts compilations."
Force Inc. Music Works,tier1,#c8431f,#1a1a1a,1991,,true,"Frankfurt, DE","Frankfurt techno parent of Mille Plateaux. Acid, hardcore, abstract techno. Achim Szepanski again."
Ninja Tune,tier1,#0a0a0a,#f4f1e8,1990,,true,"London, UK","Coldcut's label. Trip-hop, leftfield breaks, beats. Amon Tobin, Funki Porcini, DJ Vadim, Mr. Scruff."
Mo Wax,tier1,#d4a017,#1a1a1a,1992,2003,false,"London, UK","James Lavelle's leftfield/trip-hop label. UNKLE, DJ Krush, the Headz compilations. Futura 2000 sleeves."
Basic Channel,tier1,#3a3a3a,#f4f1e8,1993,,true,"Berlin, DE","Moritz von Oswald and Mark Ernestus' Berlin dub-techno foundation. Numbered, plain-sleeve 12""s. Hard Wax distributes."
Chain Reaction,tier1,#7a8a99,#1a1a1a,1993,,true,"Berlin, DE","Basic Channel sublabel. Porter Ricks, Monolake, Vainqueur. Dub techno that explored the harmonics rather than the chords."
Rhythm & Sound,tier1,#0a0a0a,#f4f1e8,1996,,true,"Berlin, DE","Basic Channel's Jamaican project. Tikiman, the version mixes, dub techno that finally remembered it was dub."
Maurizio,tier1,#1a1a1a,#f4f1e8,1992,,true,"Berlin, DE","Basic Channel side-project. Numbered series. Few words spoken."
Kompakt,tier1,#d4a017,#1a1a1a,1998,,true,"Köln, DE","Wolfgang Voigt's Cologne minimal/microhouse label. Total compilations, the Pop Ambient series, Michael Mayer, Superpitcher, DJ Koze."
Profan,tier1,#0a0a0a,#f4f1e8,1992,,true,"Köln, DE","Wolfgang Voigt's earlier Cologne imprint. Where the Kompakt sound began."
Perlon,tier1,#1a1a1a,#f4f1e8,1997,,true,"Berlin, DE","Markus Nikolai's Berlin minimal label. Ricardo Villalobos, Zip, Sammy Dee. Tracks that go for fifteen minutes and don't apologise."
DJAX-Up-Beats,tier1,#c8431f,#1a1a1a,1989,2001,false,"Eindhoven, NL","Saskia Slegers' Dutch acid-techno label. Mike Dearborn, Acid Junkies, K. Hand. Made acid sound European."
Music Man Records,tier1,#1f3a5c,#f4f1e8,1988,,true,"Ghent, BE","Belgian techno foundation, run by R&S alum. CJ Bolland, Frank de Wulf. Tougher and more European than its R&S sibling."
Hard Wax,tier1,#0a0a0a,#f4f1e8,1989,,true,"Berlin, DE","Berlin record shop and distribution-tied imprint. Basic Channel, Chain Reaction, Maurizio all flow through here. The shop is the curation."
Sähkö Recordings,tier1,#3a3a3a,#f4f1e8,1993,,true,"Helsinki, FI","Finnish minimal techno. Mika Vainio (Pan Sonic), Jimi Tenor's earlier work. White sleeves, sine waves."
XL Recordings,tier1,#d62828,#f4f1e8,1989,,true,"London, UK","Started as a UK hardcore/breakbeat label. SL2's ""On a Ragga Tip"", The Prodigy's first three albums. Eventually became a major in everything but ownership."
Reinforced Records,tier1,#0a3a4a,#f4f1e8,1990,,true,"London, UK","4hero's UK hardcore label that became the cradle of drum & bass. Goldie's debut, Doc Scott, Nookie. The records where breakbeat learned to swing."
Moving Shadow,tier1,#1a1a1a,#f4f1e8,1990,,true,"London, UK","Rob Playford's UK breakbeat / d&b label. Foul Play, Omni Trio, the Moving Shadow series compilations."
