discogs_id,name,tier,accent,accent_ink,founded_year,closed_year,is_active,location,blurb
67509,Tuff City Records,tier1,#3a3a3a,#f4f1e8,1981,,true,"New York, US","Aaron Fuchs' NY archivist-imprint. Cold Crush Brothers, Spoonie Gee, the YZ singles, plus the ongoing reissue work that has kept early-80s rap commercially available when nobody else cared."
60682,Beat Street Records,tier1,#1a1a1a,#f4f1e8,1984,1992,false,"New York, US","Spyder D's NY indie tied to the Beat Street film moment. ""Smerphies Dance"", ""I Can't Wait (To Rock the Mike)"". A short, sharp old-school catalogue."
2186,Jive,tier1,#d62828,#f4f1e8,1981,2011,false,"New York, US","Clive Calder and Ralph Simon's Zomba subsidiary that became the East Coast's quiet major. KRS-One/BDP post-Criminal Minded, A Tribe Called Quest's entire run, Schoolly D, Too Short, the Jungle Brothers. Boomed on Backstreet money."
13409,Uptown Records,tier1,#7a1f3a,#f4f1e8,1986,1999,false,"New York, US","Andre Harrell's MCA-distributed NY label. Heavy D & The Boyz, Mary J. Blige's ""What's the 411?"", Jodeci, Father MC. Where the new jack swing era touched down inside hip-hop."
11818,Rush Associated Labels,tier1,#0a0a0a,#d4a017,1989,1996,false,"New York, US","Russell Simmons' Rush Management distribution arm. EPMD's Hit Squad, Onyx, Original Flavor, Nice & Smooth, Flatlinerz. The ecosystem Def Jam's parent company built around itself."
6,Ruffhouse Records,tier1,#0a3a4a,#f4f1e8,1989,2000,false,"Philadelphia, US","Joe Nicolo and Chris Schwartz's Philly-based Columbia subsidiary. Cypress Hill's first three records, Fugees' The Score, Lauryn Hill's Miseducation, the Goodie Mob — pretty much one perfect decade and out."
11424,Pendulum Records,tier1,#3b2a8c,#f4f1e8,1991,1997,false,"New York, US","Ruben Rodriguez's Elektra-distributed imprint. Digable Planets' ""Reachin'"", Lords of the Underground, Chaka Demus & Pliers. Short run, big footprint."
5574,EastWest Records America,tier1,#c8431f,#0a0a0a,1990,2005,false,"New York, US","Atco offshoot, Atlantic-distributed. Das EFX, Yo-Yo, MC Lyte's Atlantic-era records, Snoop after Death Row briefly. The major-with-an-indie-attitude template."
22372,Payday,tier1,#d4a017,#0a0a0a,1992,1999,false,"New York, US","Patrick Moxey's London Records subsidiary. Jeru the Damaja's first two albums, Jay-Z's ""In My Lifetime"" 12"" before Roc-A-Fella, Group Home, Showbiz & A.G. Premo's playground."
251,Nervous Records,tier1,#f15a24,#0a0a0a,1991,,true,"New York, US","Michael Weiss' NY label, equally important for hip-hop and house. Black Moon's ""Enta Da Stage"", Smif-N-Wessun, the Boot Camp Clik orbit, Mood, A.D.O.R."
15172,Wreck Records,tier1,#0a0a0a,#f4f1e8,1989,1995,false,"New York, US","Steve Salem's Nervous-distributed NY sublabel. KMD, Das EFX' ""Dead Serious"", Tuff Crew. The harder, sample-thick face of the Nervous operation."
1965,Big Beat,tier1,#1a1a1a,#d62828,1987,,true,"New York, US","Craig Kallman's Atlantic-distributed NY indie. Doug Lazy, Ace Juice, Junior M.A.F.I.A., Lil' Kim's Hard Core, plus the Atlantic-routed Notorious B.I.G. solo singles. Indie sensibility with major distribution muscle."
8984,Loud Records,tier1,#0a0a0a,#d4a017,1991,2002,false,"New York, US","Steve Rifkind's RCA-distributed NY imprint. Wu-Tang Clan, Mobb Deep, Big Pun, M.O.P., Dead Prez, Three 6 Mafia briefly. The street-team era's most consequential indie."
19401,Wu-Tang Records,tier1,#1a1a1a,#d4a017,1995,,true,"New York, US","The Clan's own imprint, used for member solo records and Killa Beez extensions. Sunz of Man, Killarmy, Cilvaringz. Catalog is patchy but tied to the centre of gravity."
9433,Roc-A-Fella Records,tier1,#0a0a0a,#d4a017,1995,2013,false,"New York, US","Jay-Z, Damon Dash and Kareem Burke's Def Jam-distributed family business. Reasonable Doubt, Vol. 2, Memphis Bleek, Beanie Sigel, the Cam'ron Diplomats spell. Wound down once Jay went corporate."
13090,Bad Boy Entertainment,tier1,#0a0a0a,#f4f1e8,1993,,true,"New York, US","Sean Combs' Arista-distributed NY label. Notorious B.I.G., Mase, 112, Faith Evans, the Hitmen production line. Glossy, expensive, sample-heavy — the mainstream East Coast aesthetic of the late nineties."
4932,Gee Street,tier1,#3a3a3a,#f4f1e8,1986,2000,false,"London, UK","John Baker's UK imprint that went bi-coastal. Stereo MC's, Jungle Brothers' ""Done by the Forces of Nature"", PM Dawn, Gravediggaz' debut. Island/V2 distribution."
2236,Grand Royal,tier1,#d62828,#f4f1e8,1992,2001,false,"New York, US","The Beastie Boys' Capitol-distributed vanity label. Luscious Jackson, Buffalo Daughter, Bran Van 3000, the Grand Royal magazine, plus the Beasties' own mid-90s records routed through it."
1216,Rawkus,tier1,#0a0a0a,#d62828,1995,2007,false,"New York, US","Brater & Myer's NY underground imprint, MCA-funded once Murdoch's son got involved. Mos Def, Talib Kweli, Company Flow, Pharoahe Monch's ""Internal Affairs"", the Soundbombing comps. The ""backpack rap"" canon, mostly."
11956,Fondle 'Em,tier1,#3a3a3a,#f4f1e8,1995,2001,false,"New York, US","Bobbito García's NY 12"" label out of the WKCR ""Stretch & Bobbito"" era. MF Doom's first solo, the Juggaknots, Cage, Yeshua daPoED, Siah & Yeshua. Minimal sleeves, seven-inch / twelve-inch only, a community in a box."
1217,Stones Throw Records,tier1,#d4a017,#1a1a1a,1996,,true,"San Francisco, US","Peanut Butter Wolf's San José/LA imprint. Madlib, J Dilla's last act, Quasimoto, Madvillainy, the Wolf-curated mixtape culture that fed the whole 2000s underground."
1202,Solesides,tier1,#0a0a0a,#f4f1e8,1992,1997,false,"Davis, US","UC Davis collective: DJ Shadow, Lyrics Born, Lateef, Blackalicious. The ""Entropy"" / ""Lesson 4"" 12""s that gave the West Coast its boom-bap-with-jazz template before Quannum picked up the franchise."
27235,Quannum Projects,tier1,#1a1a1a,#f4f1e8,1997,,true,"Berkeley, US","Solesides, restructured as a label rather than a crew. Blackalicious' Nia, DJ Shadow's Endtroducing-adjacent material, Lyrics Born's solo. Bay Area sub-canon."
172814,Hieroglyphics Imperium Recordings,tier1,#7a1f3a,#f4f1e8,1997,,true,"Oakland, US","Del, Souls of Mischief, Casual, Pep Love and Domino's collective imprint after Jive and Elektra dropped them. Self-released the third era of Hieroglyphics records — proof an indie hip-hop crew could run its own pipeline."
1105,Anticon,tier1,#3a3a3a,#f4f1e8,1998,,true,"Oakland, US","Sole, Doseone, Jel, Why?, Alias, Odd Nosdam. Avant-rap — the Bay Area's stranger answer to Def Jux. Eventually became as much an indie-electronic imprint as a rap one."
3847,Definitive Jux,tier1,#0a0a0a,#f4f1e8,1999,2010,false,"New York, US","El-P's Brooklyn imprint after Company Flow ended. Cannibal Ox's ""The Cold Vein"", Aesop Rock's Labor Days, Mr. Lif, RJD2, Hangar 18. The post-Rawkus underground's defining decade-long stretch."
8201,Rhymesayers Entertainment,tier1,#c8431f,#0a0a0a,1995,,true,"Minneapolis, US","Slug, Ant, Siddiq Sayers and Musab's Twin Cities co-op. Atmosphere, Brother Ali, MF Doom (DOOM era), Aesop Rock later, plus the Soundset festival ecosystem."
29962,Mush Records,tier1,#1a1a1a,#f4f1e8,1999,,true,"Cincinnati, US","Robert Curcio's Midwestern abstract-rap imprint. cLOUDDEAD, Boom Bip, Themselves' early work, Reaching Quiet, Restiform Bodies. The sound of the late-90s avant-rap wing turning into something else."
8633,Bomb Hip-Hop Records,tier1,#d62828,#f4f1e8,1991,,true,"San Francisco, US","Dave Paul's Bay Area imprint. The Return of the DJ compilations, X-Ecutioners, Beat Junkies, Cut Chemist & Shortkut. The label that took the DJ — not the MC — as the centre of the record."
31724,ABB Records,tier1,#1f3a5c,#f4f1e8,1996,,true,"Oakland, US","Beni B's Bay Area indie. Dilated Peoples' early 12""s, Defari, Phil Da Agony, the Likwit Crew orbit. West Coast underground that kept the East Coast boom-bap aesthetic intact."
13528,Brick Records,tier1,#0a0a0a,#d4a017,1995,,true,"Boston, US","Boston/Cambridge indie. 7L & Esoteric, Mr. Lif's earliest work, Virtuoso. The New England node of the late-90s independent hip-hop network."
7801,Ruthless Records,tier1,#c8431f,#0a0a0a,1986,,true,"Compton, US","Eazy-E and Jerry Heller's Compton imprint, Priority-distributed. N.W.A., Eazy solo, J.J. Fad, Above the Law, Bone Thugs-N-Harmony. The label that made the West Coast inevitable and the lawsuits that followed inevitable too."
19737,Death Row Records,tier1,#0a0a0a,#d62828,1991,,true,"Beverly Hills, US","Suge Knight, Dr. Dre and The D.O.C.'s Interscope-distributed LA imprint. The Chronic, Doggystyle, Above the Rim, Murder Was the Case, All Eyez on Me. Defined and then ate the West Coast in the same five years."
2310,Aftermath Entertainment,tier1,#3a3a3a,#f4f1e8,1996,,true,"Santa Monica, US","Dr. Dre's Interscope-distributed imprint after Death Row. Dre's own solo work plus Eminem, 50 Cent, The Game, Kendrick. The model post-1996 for what a producer-led major-distributed imprint could do."
4304,Delicious Vinyl,tier1,#f15a24,#0a0a0a,1987,,true,"Los Angeles, US","Mike Ross and Matt Dike's LA indie. Tone Loc, Young MC, the Pharcyde's first two records, Masta Ace Incorporated, Brand New Heavies. Sample-heavy, jazz-funk-rooted West Coast that wasn't gangsta."
2715,Priority Records,tier1,#0a0a0a,#d62828,1985,,true,"Los Angeles, US","Bryan Turner and Mark Cerami's LA-distribution-turned-label. N.W.A., Ice Cube, Master P, Three 6 Mafia, plus the California Raisins records that paid for everything. Distributed half the West Coast for a decade."
8270,Solar,tier1,#d4a017,#1a1a1a,1977,1995,false,"Los Angeles, US","Dick Griffey's LA boogie/R&B label. World Class Wreckin' Cru sat here before NWA — Dre and Yella's apprenticeship. Also home to the Whispers, Lakeside, Midnight Star — the post-disco ecosystem the West Coast emerged from."
19735,Rap-A-Lot Records,tier1,#7a1f3a,#f4f1e8,1986,,true,"Houston, US","James Prince's Houston imprint. Geto Boys (and the second, classic line-up), Scarface, Bushwick Bill, Devin the Dude. The South's first scene-defining indie."
58278,Ill Will Records,tier1,#1a1a1a,#f4f1e8,1995,,true,"New York, US","Nas' Sony-distributed vanity imprint named after Willy ""Ill Will"" Graham. Bravehearts, QB Finest, Steady Mobb'n briefly. More totem than label, but a real one."
19764,No Limit Records,tier1,#0a0a0a,#d4a017,1990,2003,false,"New Orleans, US","Master P's Priority-distributed New Orleans empire. Mystikal, Silkk the Shocker, C-Murder, Snoop's first post-Death Row deal, Mia X. The first independent hip-hop major in the Pen & Pixel era."
19799,Cash Money Records,tier1,#1a8a3a,#0a0a0a,1991,,true,"New Orleans, US","Birdman and Slim Williams' New Orleans imprint, Universal-distributed from 1998. Hot Boys, Juvenile, B.G., Lil Wayne, Mannie Fresh's whole production catalogue. Outlasted everyone in the South."
47539,Hypnotize Minds,tier1,#3b2a8c,#0a0a0a,1991,,true,"Memphis, US","DJ Paul and Juicy J's Memphis imprint. Three 6 Mafia, Project Pat, Gangsta Boo, Lord Infamous solo. Defined Southern horrorcore and pre-figured most of what crunk and trap eventually built on."
22616,Suave House,tier1,#7a3a8c,#f4f1e8,1992,2002,false,"Houston, US","Tony Draper's Houston label. 8Ball & MJG's run from ""Comin' Out Hard"" forwards, Tela, South Circle. Scarface-adjacent Southern boom-bap before bounce ate everything."
15071,Ichiban Records,tier1,#d62828,#f4f1e8,1985,1999,false,"Atlanta, US","John Abbey and Nina Easton's Atlanta indie. MC Breed, Compton's Most Wanted, Detroit's Most Wanted, plus the deep-blues catalogue that paid for the rap. The South's working-class indie before anyone called it the South."
136615,So So Def Recordings,tier1,#1a8a3a,#f4f1e8,1993,,true,"Atlanta, US","Jermaine Dupri's Columbia-distributed Atlanta imprint. Kris Kross, Da Brat, Xscape, Jagged Edge, Bow Wow. The pop-rap engine of the Southern nineties."
8783,Cheetah Records,tier1,#f15a24,#0a0a0a,1985,1996,false,"Orlando, US","DJ Magic Mike's Florida bass label. The Bass Mechanic series, MC ADE, the early-90s 808 trunk records that made Miami bass exportable. ""Drop the Bass""."
19585,Slip-N-Slide Records,tier1,#0a3a4a,#d4a017,1994,,true,"Miami, US","Ted Lucas' Miami indie. Trick Daddy's entire run, Trina, Plies, Rick Ross's first pre-Def Jam singles. The non-bounce face of Miami hip-hop after Luther Campbell."
22933,JMJ,tier1,#1a1a1a,#d4a017,1989,2003,false,"New York, US","Jam Master Jay's RAL/Def Jam-distributed imprint. Onyx's ""Bacdafucup"", Suzy Q, plus the demo deal that became 50 Cent's first commercial recordings. Closed when Jay was shot in 2002."
24078,Tape Kingz,tier1,#3a3a3a,#f4f1e8,1991,2008,false,"New York, US","Magic Hayes and partners' NY mixtape distribution outfit. The grey-market backbone of the late-90s mixtape economy — DJ Clue, Doo Wop, Kid Capri, Tony Touch — and the original meaning of ""Tape Kingz"" stickers on a tape's label."
25020,Game Recordings,tier1,#0a0a0a,#d62828,1998,2006,false,"New York, US","Brad Greenberg's NY indie. Cormega's ""The Realness"", 50 Cent's ""Power of the Dollar""-era 12""s, Royce da 5'9""'s solo records. The transitional indie between Loud's collapse and the post-Get-Rich-or-Die-Tryin era."
111,Mo Wax,tier1,#d4a017,#0a0a0a,1992,2003,false,"London, UK","James Lavelle's London leftfield imprint, on hip-hop's UK side as much as trip-hop. DJ Shadow's Endtroducing....., DJ Krush, UNKLE, the Headz compilations. Futura 2000 sleeves and the strongest UK A&R in the form."
1103,Big Dada Recordings,tier1,#c8431f,#0a0a0a,1997,,true,"London, UK","Ninja Tune's hip-hop arm, run by Will Ashon. Roots Manuva, New Flesh, Ty, Diplo's debut. The closest thing the UK has to a Definitive Jux — and the home of Roots Manuva's ""Brand New Second Hand""."
4227,Lex Records,tier1,#0a0a0a,#d4a017,2001,,true,"London, UK","Tom Brown's Warp-distributed UK imprint. Boom Bip & Doseone's ""Circle"", Dabrye, Danger Mouse & Jemini. Tail-end of the era under review but rooted in the Anticon/Mush axis."
3692,NIA Records,tier1,#1a1a1a,#d4a017,1991,1996,false,"New York, US","Afrika Bambaataa-adjacent NY imprint, Tommy Boy-distributed. The vehicle for late Bambaataa records and a handful of Zulu Nation-orbit projects. Sparse catalogue, totemic name."
19179,Penalty Recordings,tier1,#0a0a0a,#d62828,1995,2003,false,"New York, US","Neil Levine's Tommy Boy-distributed NY imprint. Capone-N-Noreaga's ""The War Report"", M.O.P.'s ""Firing Squad"", Lord Tariq & Peter Gunz' ""Déjà Vu"". The QB / Brownsville street side of mid-90s NY rap."
28650,Tommy Boy Black Label,tier1,#1a1a1a,#d4a017,1996,2002,false,"New York, US","Tommy Boy's underground/street sub. Capone-N-Noreaga reissues, Mic Geronimo, the Tommy Boy Greatest Beats compilations. Where TB tried to keep up with the Loud / Rawkus axis."
28561,Strong City Records,tier1,#7a3a8c,#f4f1e8,1987,1991,false,"New York, US","Jazzy Jay's Bronx imprint. Ultramagnetic MCs' first 12""s, Busy Bee, King Sun. Short-lived but the bridge between old-school Zulu Nation and the Ced-Gee / Kool Keith production school."
2517,Cutting Records,tier1,#3a3a3a,#f4f1e8,1985,2001,false,"New York, US","Aldo Marin's NY indie. The Latin-freestyle / electro-rap crossover catalogue: 2 In A Room, Cover Girls, Coro, plus Charlie Brown of Leaders of the New School and various Bronx hip-hop 12""s."
1724,Quark,tier1,#0a3a4a,#f4f1e8,1984,1990,false,"New York, US","Curtis Urbina's NY indie. Davy DMX's ""One for the Treble"", MC Shan's earliest, Roxanne Shanté pre-Cold Chillin', Original Concept. Marley Marl learnt the room here."
6388,Hollywood BASIC,tier1,#c8431f,#0a0a0a,1990,1994,false,"Burbank, US","Disney's adult-rap subsidiary, run by Dave Funken-Klein. Organized Konfusion, Lord Finesse's ""Funky Technician"", Raw Fusion, MC 900 Ft. Jesus, Mike G's solo work. The most unlikely golden-era catalogue."
21989,Dolo Records,tier1,#1a1a1a,#f4f1e8,1996,2002,false,"New York, US","Eon's NY indie. The High & Mighty's ""Home Field Advantage"", Mighty Mi & Slug singles, plus the Eastern Conference orbit. The Stretch & Bobbito-era underground in record form."
8617,Ill Boogie Records,tier1,#3a3a3a,#f4f1e8,1995,2000,false,"New York, US","Eric Robinson's Brooklyn indie. Cella Dwellas' ""Realms 'n Reality"", Mad Skillz, Mr. Voodoo. Mid-90s NY underground that lived close to the boom-bap centre."
21499,Big Cat Records,tier1,#d4a017,#0a0a0a,1991,2009,false,"London, UK","UK indie that licensed and distributed a stretch of US underground rap into Europe — Aceyalone, Atmosphere, Slum Village among others — as well as putting out homegrown indie hip-hop."
31464,Atomic Pop,tier1,#d62828,#f4f1e8,1998,2001,false,"Los Angeles, US","Al Teller's early-internet major-rebellion imprint. Public Enemy's ""There's a Poison Goin' On"" — the first major-artist album sold direct as MP3 — plus Ice-T's ""The Seventh Deadly Sin"". Crashed with the dotcom bust."
